Pictures,WITHOUT BG (EDITED),WITHOUT BG (NON EDITED),CATEGORY ,CATEGORY NAME,MEN/WOMEN/UNISEX,BRAND,NAME,PRICE,LINK,,Azure DB Img Id
,,,Bags,Cross-body bag ,Women ,Exotic ,Cross-body bag with tassles,Rs 2099,https://www.myntra.com/handbags/exotic/exotic-pu-bucket-handheld-bag-with-tasselled/28084904/buy,,
,,,Bags,Shoulder bag ,Women ,Tommy Hilfiger ,Brand logo structured bag,Rs 5499,https://www.myntra.com/handbags/tommyhilfiger/tommy-hilfiger-brand-logo-textured-handheld-bag/26582152/buy,,
,,,SHOES ,FLATS ,WOMEN',Tnc 5,embellished flats ,Rs 2290,https://www.myntra.com/flats/inc5/inc-5-embellished-open-toe-flats/24028144/buy,,
,,,shoes ,Shoes,WOMEN ,ELLE,women muted gold toned shimmer pumps,Rs 3299,https://www.myntra.com/heels/elle/elle-women-muted-gold-toned-shimmer-pumps/7698021/buy,,
,,,SHOES ,Sandal ,WOMEN ,Kisteps,kisteps women's sandal ,Rs 1499,https://dl.flipkart.com/s/SVSVLauuuN,,
,,,Shoes ,Loafer ,Women ,yoho,loafer ,Rs 2598,https://www.myntra.com/Casual-Shoes/yoho/yoho-Women-Comfort-Insole-Flexible-Anti-Skid-Loafers/24130100/buy,,
,,,SHOES,SANDAL,WOMEN ,BATA,BALCK WEDGE SANDAL,Rs 1299,https://www.myntra.com/heels/bata/bata-black-pu-wedge-sandals/18298026/buy,,
,,,SHOES,BALLET ,WOMEN ,RagCompany,Minato Two Tone Ballet Flats,"₹ 3,453",https://www.etsy.com/in-en/listing/1641886470/london-rag-minato-two-tone-ballet-flats?click_key=dd6423f9a4f1a809dee17a1a8159e5b725cc6672:1641886470&click_sum=d59972fc&ref=sold_out-2&pro=1,,
,,,Sheos ,shoe,women ,Dorothy Perkins,Daphne Glitter Pointed Stiletto Court Shoes,"Rs 4,166.09",https://www.dorothyperkins.com/product/dorothy-perkins-daphne-glitter-pointed-stiletto-court-shoes_bqq15720?colour=black,,
,,,Shoes,Flats ,Women ,Max,textured open toe flats ,Rs 799,https://www.myntra.com/flats/max/max-textured-open-toe-flats/25886456/buy,,
,,,Shoes,Loafer ,Women ,Mango ,Women rounded loafers ,Rs 5790,https://www.myntra.com/casual-shoes/mango/mango-women-chain-detail-round-toe-loafers/25427022/buy,,
,,,Shoes,Flats ,Women ,Allen Solly ,WOMEN flats with bow,Rs 1999,https://www.myntra.com/flats/allensolly/allen-solly-women-ballerinas-with-bows/24912634/buy,,
,,,Shoes ,Loafer ,Men,Rosso brunello ,Men leather formal loafers,"Rs 11,999",https://www.myntra.com/formal-shoes/rosso%2Bbrunello/rosso-brunello-men-leather-formal-loafers/26261502/buy,,
,,,Shoes ,Loafer ,Men,Carlton London .,Men brown solid loafers,Rs 2999,https://www.myntra.com/casual-shoes/carlton%2Blondon/carlton-london-men-brown-solid-loafers/13990272/buy,,
,,,Shoes ,Sneakers ,unisex ,Sole to soul,white lace sneakers ,Rs 4700,https://www.myntra.com/casual-shoes/sole%2Bto%2Bsoul/sole-to-soul-women-white-sneakers/25684640/buy,,
,,,Shoes ,Loafer ,Men,FeetFirst,Casual Genuine Leather Loafer for Men,"Rs 5,999",https://amzn.in/d/5z1pZJh,,
,,,Shoes ,Shoes ,Men ,JohnnyWalker,Men Cheque Formal Shoe,"₹3,999",https://amzn.in/d/9X1s8dp,,
,,,Shoes ,Sneakers ,men,Red Chief,Tan Leather Sneakers for Men," ₹4,699",https://amzn.in/d/4vdp0ND,,
,,,Shoes,Shoes,Men,Roadster ,Men woven sneakers ,Rs 2699,https://www.myntra.com/hatke/a/products/24525936/buy?ep=rd_111110501,,
,,,Shoes ,Ballet ,Women ,DressBerry,Women leather ballerinas ,"Rs 5,999",https://www.myntra.com/flats/dressberry/dressberry-women-leather-ballerinas-/22856832/buy,,
,,,Shoes ,Flats ,Women ,Van Heusen ,Women Ballerinas flats ,"Rs 2,299",https://www.myntra.com/flats/vanheusen/van-heusen-women-ballerinas-flats/28102580/buy,,
,,,Shoes,Boots ,Women ,Mango ,Women hill black boots,Rs 7490,https://www.myntra.com/boots/mango/mango-women-round-toe-mid-top-leather-block-heel-boots/25426784/buy,,
,,,Shoes,Flats,Women ,Dorothy Perkins ,Women Bow details Ballerinas ,Rs 3349,https://www.myntra.com/Flats/DOROTHY%2BPERKINS/DOROTHY-PERKINS-Women-Bow-Detail-Ballerinas/23745452/buy,,
,,,Shoes,Sneakers ,Women ,Calvin Klein jeans ,Men leather sneakers ,Rs 8599,https://www.myntra.com/hatke/a/products/21043854/buy?ep=rd_111115020,,
,,,Shoes,Loafers ,Women ,Carlton London ,Women textured Heeled penny Loafers ,Rs 4995,https://www.myntra.com/casual-shoes/carlton%2Blondon/carlton-london-women-textured-heeled-penny-loafers/26385980/buy,,
,,,Shoes ,Sandal ,Women ,Heelsnfeels,Heelsnfeels sandal for women and girls,₹583,https://www.meesho.com/heelsnfeels-sandal-for-women-and-girls/p/307idu,,
,,,Shoes ,Sandal ,Women ,Mango ,Mid top stiletto heel pumps ,Rs  5490.,https://www.myntra.com/heels/mango/mango-mid-top-stiletto-heel-pumps/26572896/buy,,
,,,Shoes,Flats ,women ,SOOKY LEATHER,Tanny Shoes Women Flat Belly,₹342,https://www.meesho.com/tanny-shoes-women-flat-belly/p/1xujzg,,
,,,Shoes ,Loafers ,women ,Wolvenmilano,"""Wolven Handcrafted Black loafers","₹3,199.00",https://wolvenmilano.in/product/wolven-handcrafted-black-mens-black-harley-calf-leather-slip-on-with-rubber-sole/,,
,,,Shoes .,Pumps ,Women ,DressBerry ,Black embellished pumps ,Rs 2399,https://www.myntra.com/heels/dressberry/dressberry-black-embellished-block-heel-pumps/22993932/buy,,
,,,Shoes ,Heeled shoes ,Women ,Geox,Women Heeled sandals ,"Rs 12,990",https://www.myntra.com/heels/geox/geox-women-d-bigliana-leather-sandals/22209606/buy,,
,,,Shoes ,Flats,Women ,Marc Loire ,Women grey textured loafers ,Rs 2490,https://www.myntra.com/casual-shoes/marc%2Bloire/marc-loire-women-grey-textured-pu-penny-loafers/16854958/buy,,
,,,Shoes,Boots,Women ,Roadster ,women black solid boots,"Rs 3,899",https://www.myntra.com/boots/roadster/roadster-women-black-solid-mid-top-biker-boots/19429238/buy,,
,,,Shoes,Shoes ,Women ,Hush Puppies, Women Slipon Sneakers Elevate Lace Up,"₹5,999",https://amzn.in/d/ewmRJCl,,
,,,Shoes,Flats ,Women ,SKOLL,Women Backstrap Ballies,Rs 999,https://amzn.in/d/f50xpAc,,
,,,Shoes,Heels,Women ,JM Looks ,Pointed toe black shoes,"Rs 1,995",https://www.myntra.com/heels/jm%2Blooks/jm-looks-pointed-toe-block-mules/24789556/buy,,
,,,Shoes,Lace shoes ,Women ,RAPAWALK ,Leather shoes ,Rs 8850,https://www.myntra.com/formal-shoes/rapawalk/rapawalk-burgundy-handcrafted-standard-width-leather-derbys/7283212/buy,,
,,,Shoes,Shoes ,men,Ajanta,textured black shoes ,Rs. 699,https://www.myntra.com/formal-shoes/ajanta/ajanta-men-textured-lightweight-formal-slip-on-shoes/22564826/buy,,
,,,Shoes ,Formal shoes ,Men,RAPAWALK,Leather formal shoes ,Rs 8850,https://www.myntra.com/Formal-Shoes/RAPAWALK/Rapawalk-Blue-Handcrafted-Standard-Width-Leather-Slipons/7284586/buy,,
,,,Shoes ,Heels ,Women ,Mango ,Women Formal heels,"Rs 7,990",https://www.myntra.com/heels/mango/mango-women-leather-slim-heels/22303346/buy,,
,,,Shoes ,Heels,Women ,CIRCLE ONE,Fashionable Stylish Ethnic Heel Sandal Stiletto Sandal For Womens And Girls,₹491,https://www.meesho.com/fashionable-stylish-ethnic-heel-sandal-stiletto-sandal-for-womens-and-girls/p/5a1s65,,
,,,Shoes,Flats,Women ,Dune London,Hallo Ballerinas with Bow Accent,"₹10,000",https://www.ajio.com/dune-london-hallo-ballerinas-with-bow-accent/p/410380057_892,,
,,,Shoes,Heels,Women ,DressBerry ,Women Gold pumps,Rs 3699,https://www.myntra.com/heels/dressberry/dressberry-women-gold-toned-solid-pumps/2281745/buy,,
,,,Shoes ,Flat shoes ,Women ,Carlton London ,Women beige shoes,Rs 1795,https://dl.flipkart.com/s/TxvHx2uuuN,,
,,,Shoes,Heels,Women ,Klaur Melbourne ,Women black heel sandal,Rs 1299,https://dl.flipkart.com/s/TxnV_2uuuN,,
